EA,Group,Fitness
1,1S,17.30104088295605
1,1S,28.38291350491989
1,1S,-8.011940557386358
1,1S,21.43707269202393
1,1S,19.786776811025522
1,1S,21.772982734801143
1,1S,26.67846130233021
1,1S,22.03690534532135
1,1S,22.27911729211491
1,1S,25.046952722983526
1,1R,19.47353074756827
1,1R,4.004360166655473
1,1R,23.086743860763104
1,1R,18.24080383073673
1,1R,13.79734427809496
1,1R,11.796894607560526
1,1R,31.278335877765123
1,1R,22.223719315968882
1,1R,2.585775039469546
1,1R,20.694213339909005
1,2S,20.13710402941252
1,2S,16.85236644189004
1,2S,-6.451199010802492
1,2S,18.594242699836954
1,2S,7.0472710454510095
1,2S,20.41873573019859
1,2S,7.574017088879896
1,2S,23.218939345549284
1,2S,-0.44824818348623474
1,2S,14.137980010937332
1,2R,19.76321332835247
1,2R,21.412884936654343
1,2R,12.947005127257148
1,2R,12.759729051864444
1,2R,21.09035610513639
1,2R,12.386339705659136
1,2R,15.585062744317174
1,2R,17.393962118922783
1,2R,16.102718409176582
1,2R,-7.332754388612534
2,1S,15.701117343211575
2,1S,22.619099884792863
2,1S,17.60941439062572
2,1S,20.798924779995
2,1S,17.074428873790794
2,1S,24.415715157810105
2,1S,23.855803328756288
2,1S,20.091578837176133
2,1S,18.438200727305315
2,1S,21.10845370246518
2,1R,28.503227373596474
2,1R,4.772030962879233
2,1R,8.159561038089231
2,1R,13.697139203818875
2,1R,22.09621266791653
2,1R,30.99450543381468
2,1R,11.48099949847564
2,1R,-8.059559743197081
2,1R,14.505304784144311
2,1R,1.1601699067975786
2,2S,3.8481718013970303
2,2S,16.90997479950276
2,2S,24.57571825442875
2,2S,5.473206226764628
2,2S,2.679033706580527
2,2S,4.449743995517629
2,2S,18.457908260130345
2,2S,21.510660373150813
2,2S,7.993662955753638
2,2S,2.4214030915688434
2,2R,6.475147574218548
2,2R,1.1639792337716592
2,2R,17.6638341556698
2,2R,2.5216052718909907
2,2R,18.42019523267752
2,2R,6.454462397685265
2,2R,-2.2245700409403755
2,2R,27.001830591629528
2,2R,6.393753317919521
2,2R,14.568406373131111
