EA,Group,Fitness
1,1,15.807198660447938
1,1,-5.068198873888312
1,1,53.53854429337001
1,1,7.297964044642096
1,1,59.766179633001045
1,1,60.745821755503094
1,1,30.467341935349033
1,1,18.45412512802825
1,1,59.26427980547461
1,1,37.63007877212486
1,2,-1.9845880598269794
1,2,-1.8564483201320197
1,2,81.87504847246123
1,2,-5.5862491826308
1,2,30.638441285186616
1,2,92.13310478355905
1,2,25.22275775357471
1,2,31.9921025292548
1,2,10.53165762525088
1,2,22.960862784746304
1,3,-5.823612433715077
1,3,44.57879016187023
1,3,49.974027935381834
1,3,69.91809984405738
1,3,54.096895618371136
1,3,57.082150717259346
1,3,59.59476004919715
1,3,49.981785279283045
1,3,22.597295317130147
1,3,57.869671369175094
1,4,30.552774420174366
1,4,30.496798767236704
1,4,21.639199222779293
1,4,30.496798767236704
1,4,35.04762789943933
1,4,30.494668464067637
1,4,30.39151108885148
1,4,30.61226911549655
1,4,30.48449984273325
1,4,21.664693004131458
1,5,14.896158238249694
1,5,86.69934479961015
1,5,91.55488551415296
1,5,91.59306424268753
1,5,92.07502407827621
1,5,89.87323609431544
1,5,89.4973523841353
1,5,90.58300635916751
1,5,92.26619090530082
1,5,77.88534541016644
1,6,32.598064391970425
1,6,67.6348640486711
1,6,31.5638831285602
1,6,46.73600009650326
1,6,-4.856907641573157
1,6,-1.0881407695360175
1,6,64.24914326957813
1,6,48.48266604794654
1,6,59.37191174228045
1,6,51.99156463531615
1,7,-0.9080502011022101
1,7,82.01396461925731
1,7,-2.70805020110221
1,7,80.60749295053323
1,7,-5.644440642883241
1,7,42.91342624381447
1,7,88.39457483642549
1,7,86.3028820251283
1,7,64.04642261221645
1,7,31.647454611449255
1,8,89.63509831975409
1,8,82.04813639190958
1,8,-5.7272852659551745
1,8,3.758176882125388
1,8,63.59118730369558
1,8,88.00726645512844
1,8,89.30387246851512
1,8,31.907308947866806
1,8,72.54708378044373
1,8,49.259295663753335
2,1,32.28121309181824
2,1,63.89224472101787
2,1,19.789281247345734
2,1,26.863605896860655
2,1,18.357992584971367
2,1,27.386503712412427
2,1,77.8380183497735
2,1,-1.684827698484412
2,1,42.261407634259264
2,1,28.77751254177921
2,2,-5.781730349274701
2,2,3.4449629583459327
2,2,2.0922617363617695
2,2,10.468196859591227
2,2,7.144101886542357
2,2,10.580951986011902
2,2,14.017802085481446
2,2,75.74488046022762
2,2,91.88555829435174
2,2,14.06709644624247
2,3,41.521412804181296
2,3,40.98950685159759
2,3,57.23927641594544
2,3,58.99312678580556
2,3,73.45283101703316
2,3,57.27259221566372
2,3,73.44705697567936
2,3,19.160457183278947
2,3,59.03511579041949
2,3,26.260495313733326
2,4,18.09261061177553
2,4,30.29897324684307
2,4,16.8967498065576
2,4,30.62422669917234
2,4,72.39212066557474
2,4,30.191419246535656
2,4,-5.345960253887086
2,4,21.63335610187342
2,4,21.416288370533124
2,4,-5.810361492976477
2,5,93.55570064900925
2,5,87.84705901984417
2,5,91.55806864089529
2,5,90.29721902594979
2,5,89.38776738915831
2,5,92.4858064808634
2,5,89.55783353948557
2,5,92.44980648086342
2,5,0.9109865439623276
2,5,90.82524346073558
2,6,7.736866584526011
2,6,55.83634326952598
2,6,39.473776210709204
2,6,62.71877828056779
2,6,32.45298995168721
2,6,88.05221271063172
2,6,18.163734516680332
2,6,32.39322565934926
2,6,31.52081904777462
2,6,4.357896071994678
2,7,58.86080840571891
2,7,26.960084037216625
2,7,59.12702558891097
2,7,39.02948389537463
2,7,64.43387611657099
2,7,66.35597967937869
2,7,6.708352867082619
2,7,72.18885074046672
2,7,2.6274112777602183
2,7,60.62430632610826
2,8,89.32645713854455
2,8,86.78191268661017
2,8,86.5686379589134
2,8,86.32889954369111
2,8,86.74591268661017
2,8,86.3288995436911
2,8,86.73412894315886
2,8,73.57698339203229
2,8,86.49646703059372
2,8,86.61764891783392
