evo,enemy,individual,round,f,p,e,t
0,2,0,0,93.27424186224158,90.0,0.0,195
0,2,0,0,93.27424186224158,90.0,0.0,195
0,2,0,0,93.27424186224158,90.0,0.0,195
0,2,0,0,93.27424186224158,90.0,0.0,195
0,2,0,0,93.27424186224158,90.0,0.0,195
0,2,1,1,92.57641531783392,76.0,0.0,151
0,2,1,1,92.57641531783392,76.0,0.0,151
0,2,1,1,92.57641531783392,76.0,0.0,151
0,2,1,1,92.57641531783392,76.0,0.0,151
0,2,1,1,92.57641531783392,76.0,0.0,151
0,2,2,2,92.68472437767187,86.0,0.0,195
0,2,2,2,92.68472437767187,86.0,0.0,195
0,2,2,2,92.68472437767187,86.0,0.0,195
0,2,2,2,92.68472437767187,86.0,0.0,195
0,2,2,2,92.68472437767187,86.0,0.0,195
0,2,3,3,87.84855285332095,74.0,0.0,278
0,2,3,3,87.84855285332095,74.0,0.0,278
0,2,3,3,87.84855285332095,74.0,0.0,278
0,2,3,3,87.84855285332095,74.0,0.0,278
0,2,3,3,87.84855285332095,74.0,0.0,278
0,2,4,4,92.21130236399647,76.0,0.0,162
0,2,4,4,92.21130236399647,76.0,0.0,162
0,2,4,4,92.21130236399647,76.0,0.0,162
0,2,4,4,92.21130236399647,76.0,0.0,162
0,2,4,4,92.21130236399647,76.0,0.0,162
0,2,5,5,92.57641531783392,76.0,0.0,151
0,2,5,5,92.57641531783392,76.0,0.0,151
0,2,5,5,92.57641531783392,76.0,0.0,151
0,2,5,5,92.57641531783392,76.0,0.0,151
0,2,5,5,92.57641531783392,76.0,0.0,151
0,2,6,6,0.0,0.0,60.0,329
0,2,6,6,0.0,0.0,60.0,329
0,2,6,6,0.0,0.0,60.0,329
0,2,6,6,0.0,0.0,60.0,329
0,2,6,6,0.0,0.0,60.0,329
0,2,7,7,91.01098755825419,66.0,0.0,144
0,2,7,7,91.01098755825419,66.0,0.0,144
0,2,7,7,91.01098755825419,66.0,0.0,144
0,2,7,7,91.01098755825419,66.0,0.0,144
0,2,7,7,91.01098755825419,66.0,0.0,144
0,2,8,8,92.87698480137234,78.0,0.0,152
0,2,8,8,92.87698480137234,78.0,0.0,152
0,2,8,8,92.87698480137234,78.0,0.0,152
0,2,8,8,92.87698480137234,78.0,0.0,152
0,2,8,8,92.87698480137234,78.0,0.0,152
0,2,9,9,84.36190840752249,38.0,0.0,141
0,2,9,9,84.36190840752249,38.0,0.0,141
0,2,9,9,84.36190840752249,38.0,0.0,141
0,2,9,9,84.36190840752249,38.0,0.0,141
0,2,9,9,84.36190840752249,38.0,0.0,141
